Adduct,m/z,CCS(Å2),Charge,Instrument,Type,Approach,Calibrant,DOI,Update date,ID
[M+Na]+,270.1214,175.7,1,Waters Synapt G2-Si HDMS,TWIMS,Empirical method,MajorMix,https://doi.org/10.1016/j.aca.2018.09.065,2021-02-27,AllCCS00893002
[2M-H]-,707.4739,262.4,-1,Agilent 6560 DTIM-QTOF,DTIMS,Single-field,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/10.1021/acs.analchem.8b04615,2021-02-26,AllCCS00894065
[M+CH3COONa-H]-,435.2364,202.4,-1,Agilent 6560 DTIM-QTOF,DTIMS,Single-field,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/10.1021/acs.analchem.8b04615,2021-02-26,AllCCS00894065
[M+Na]+,377.2299,200.5,1,Agilent 6560 DTIM-QTOF,DTIMS,Multiple-fields,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/10.4155/bio-2017-0245,2021-02-25,AllCCS00894065
[M+H]+,356.2009,194.8,1,Modified Waters Synapt G2-Si HDMS,TWIMS,Empirical method,NA,https://doi.org/10.1021/acs.est.0c05713,2021-02-25,AllCCS00894091
[M+H]+,220.1445,155.4,1,Waters Vion IMS QTOF,TWIMS,Empirical method,MajorMix,https://doi.org/10.1021/acs.analchem.7b00741,2021-02-25,AllCCS00894561
[M+H]+,220.1445,158.6,1,Modified Waters Synapt G2-Si HDMS,TWIMS,Empirical method,NA,https://doi.org/10.1021/acs.est.0c05713,2021-02-25,AllCCS00894561
[M+H]+,379.2016,193.3,1,Modified Waters Synapt G2-Si HDMS,TWIMS,Empirical method,NA,https://doi.org/10.1021/acs.est.0c05713,2021-02-25,AllCCS00897636
[M+Na]+,401.1836,194.7,1,Modified Waters Synapt G2-Si HDMS,TWIMS,Empirical method,NA,https://doi.org/10.1021/acs.est.0c05713,2021-02-25,AllCCS00897636
[M+H]+,302.1751,168.9,1,Waters Vion IMS QTOF,TWIMS,Empirical method,MajorMix,https://doi.org/10.1021/acs.analchem.7b00741,2021-02-25,AllCCS00899622
[M+H]+,302.1751,170.4,1,Modified Waters Synapt G2-Si HDMS,TWIMS,Empirical method,NA,https://doi.org/10.1021/acs.est.0c05713,2021-02-25,AllCCS00899622
[M-H]-,300.1605,168.4,1,Modified Waters Synapt G2-Si HDMS,TWIMS,Empirical method,NA,https://doi.org/10.1021/acs.est.0c05713,2021-02-25,AllCCS00899622
[M+H]+,293.1052,173.2,1,Agilent 6560 DTIM-QTOF,DTIMS,Multiple-fields,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/10.1007/s00216-016-9820-5,2021-02-25,AllCCS00900953
[M+H]+,363.1463,179.6,1,Waters Vion IMS QTOF,TWIMS,Empirical method,MajorMix,https://doi.org/10.1021/acs.analchem.7b00741,2021-02-25,AllCCS00901291
[M+H]+,363.1463,191.2,1,Modified Waters Synapt G2-Si HDMS,TWIMS,Empirical method,NA,https://doi.org/10.1021/acs.est.0c05713,2021-02-25,AllCCS00901291
[M+H]+,363.1463,190.6,1,Waters Synapt G2-Si HDMS,TWIMS,Empirical method,MajorMix,https://doi.org/10.1016/j.aca.2018.09.065,2021-02-27,AllCCS00901291
[M+Na]+,385.1283,195.8,1,Modified Waters Synapt G2-Si HDMS,TWIMS,Empirical method,NA,https://doi.org/10.1021/acs.est.0c05713,2021-02-25,AllCCS00901291
